Year,GDP ,GDP per capita,GDP growth,Inflation rate,Unemployed rate,Government debt,Total Investment
1980,41.2,500,3.10%,15.40%,N/A,N/A,14.44%
1981,47.4,560,5.60%,14.50%,N/A,N/A,17.16%
1982,52,597,3.20%,12.90%,N/A,N/A,17.36%
1983,56.5,633,4.60%,9.50%,N/A,N/A,16.56%
1984,61,664,4.20%,10.40%,N/A,N/A,16.48%
1985,65.3,693,3.70%,10.50%,N/A,N/A,15.83%
1986,69.3,715,4.00%,10.20%,N/A,N/A,16.18%
1987,73.1,735,2.90%,10.80%,N/A,N/A,15.47%
1988,77.5,759,2.40%,9.70%,N/A,N/A,15.74%
1989,84,801,4.30%,8.70%,N/A,N/A,16.12%
1990,91.1,848,4.60%,10.50%,N/A,N/A,16.46%
1991,98.1,892,4.20%,8.30%,2.20%,N/A,16.90%
1992,105.1,935,4.80%,3.60%,2.25%,N/A,17.31%
1993,112.3,977,4.30%,3.00%,2.37%,N/A,17.95%
1994,119.9,"1,021",4.50%,6.20%,2.44%,N/A,18.40%
1995,128.2,"1,069",4.80%,10.10%,2.48%,N/A,19.12%
1996,137.1,"1,120",5.00%,2.50%,2.51%,N/A,20.73%
1997,146.8,"1,175",5.30%,5.00%,2.69%,N/A,21.82%
1998,155.9,"1,223",5.00%,8.60%,2.83%,N/A,22.12%
1999,166.9,"1,284",5.40%,6.20%,3.10%,N/A,22.72%
2000,180.2,"1,361",5.60%,2.50%,3.27%,N/A,23.81%
2001,193.2,"1,434",4.80%,1.90%,3.55%,N/A,24.17%
2002,205.7,"1,501",4.80%,3.70%,3.96%,N/A,24.34%
2003,221.9,"1,594",5.80%,5.40%,4.32%,44.30%,24.68%
2004,241.9,"1,713",6.10%,6.10%,4.30%,43.50%,24.99%
2005,265.5,"1,855",6.30%,7.00%,4.25%,42.30%,25.83%
2006,291.4,"2,018",6.90%,6.80%,3.59%,42.30%,26.14%
2007,319.7,"2,183",6.50%,9.10%,3.77%,41.90%,26.18%
2008,344,"2,325",5.50%,8.90%,4.07%,40.60%,26.20%
2009,365,"2,441",5.30%,4.90%,5.00%,39.50%,26.21%
2010,391.7,"2,592",6.00%,9.40%,3.37%,35.50%,26.25%
2011,425.8,"2,785",6.50%,11.50%,3.71%,36.60%,27.42%
2012,460.8,"2,979",6.30%,6.20%,4.04%,36.20%,28.26%
2013,496.5,"3,171",6.00%,7.50%,4.43%,35.80%,28.39%
2014,537.3,"3,396",6.30%,7.00%,4.41%,35.30%,28.58%
2015,581.6,"3,638",6.80%,6.20%,4.42%,33.60%,28.89%
2016,629.9,"3,900",7.20%,5.70%,4.35%,33.30%,29.65%
2017,690.5,"4,231",7.60%,5.60%,4.37%,32.60%,30.51%
2018,753.4,"4,630",7.90%,5.60%,4.30%,34.00%,31.23%
2019,817.6,"5,028",8.10%,5.50%,4.29%,33.50%,31.60%
