Date,USD,EUR,GBP,INR,AED,CNY
1978,193.44,124.7358,100.65449,,,
1979,304.68,185.06142,143.09014,2481.90512,1163.93597,
1980,614.5,378.19461,263.80259,4831.74943,2278.3679500000003,
1981,459.26,360.90588,227.01948,3966.6479,1691.03194,
1982,375.3,345.59742,215.53232,3553.6268,1378.7289500000002,
1983,423.66,439.89318,279.24936,4270.42821,1557.4579,
1984,360.78,425.91,269.81553,4067.60433,1324.7227200000002,
1985,317.3,394.08922,246.28501,3887.3927,1162.1977800000002,926.6451800000001
1986,367.85,351.34774,251.12483,4625.0699,1351.9247400000002,1272.3885400000001
1987,446.22,366.06607,272.49236,5761.91787,1641.52338,1659.6001500000002
1988,436.86,352.12732,245.62804,6039.39391,1603.97099,1626.1203400000002
1989,380.82,325.48985,232.74627,6148.71301,1399.8051600000001,1434.3058500000002
1990,383.56,282.94628,215.96014,6697.62037,1407.79204,1827.11273
1991,362.26,278.4072,205.50722,8225.7496,1329.5838600000002,1927.40253
1992,343.95,253.37085,195.54612,9636.93952,1262.9233900000002,1902.41839
1993,359.82,301.327,239.71266,11203.55009,1322.04967,2077.1915900000004
1994,384.15,319.36006,250.80356,12051.8481,1396.444,3306.27489
1995,384.05,291.93644,243.34273,12439.2634,1410.56247,3206.9274
1996,387.87,300.88347,248.89782,13721.3606,1424.56482,3224.913
1997,331.29,292.48136,202.37806,12006.0735,1216.71937,2746.44528
1998,294.09,264.28112,177.46076,12132.6106,1080.16664,2434.72504
1999,278.57,261.40884,172.09825,11994.1629,1023.1838,2306.10273
2000,279.1,302.74148,184.342,12532.1612,1025.12139,2310.52124
2001,271.04,302.86333,188.25986,12788.4389,995.50618,2243.38052
2002,309.68,327.97053,206.1346,15041.9773,1137.44154,2563.18651
2003,363.32,321.23011,222.21281,16904.9105,1334.4564,3007.22538
2004,409.17,329.16103,223.37467,18523.913,1502.86101,3386.5759
2005,444.45,358.33936,244.85235,19599.1786,1632.40021,3639.50066
2006,603.77,480.59317,327.68464,27358.6381,2217.61429,4813.31894
2007,695.39,506.81233,347.00424,28688.9728,2553.59494,5284.5879
2008,871.96,593.19118,471.59251,37767.5602,3202.59423,6064.27531
2009,972.35,697.01955,621.18976,47001.532,3571.35929,6642.12299
2010,1224.52,925.18936,792.40733,55977.9256,4497.52269,8283.15847
2011,1571.52,1129.92459,980.75636,73479.1698,5772.12114,10148.41256
2012,1668.98,1298.7161,1052.98003,89078.5042,6130.16849,10529.5101
2013,1411.23,1063.76915,903.81239,82238.137,5183.43387,8683.8444
2014,1266.4,952.82571,768.14916,77245.7203,4651.50598,7802.19659
2015,1160.06,1045.29709,758.98199,74347.3639,4260.8897,7285.48355
2016,1250.8,1129.45348,927.34224,84021.528,4594.17704,8306.04154
2017,1257.15,1114.05904,976.05851,81863.6221,4617.44363,8494.75064
2018,1268.49,1073.6977,949.60552,86658.282,4659.26967,8379.74188
2019,1392.6,1244.87505,1092.9256,98108.183,5115.16917,9634.22447
2020,1769.59,1549.04471,1378.98099,131199.9554,6499.9529,12205.48197
2021,1798.61,1520.62257,1307.53174,132967.8751,6606.55046,11600.56405
