Area,Bedrooms,Age,Rent
1024,3,15,11200
1200,4,10,33650
800,2,5,8000
674,2,10,6120
766,2,11,6000
680,,36,3200
750,,10,3500
900,3,20,3345
967,3,23,3100
720,3,7,6200
850,4,16,7820
1033,4,2,37020
1050,3,6,33260
1120,4,30,10500
839,2,24,3400
921,3,18,5000
671,2,12,2400
953,3,36,2720
871,,12,3100
933,,10,2950
1066,4,3,29820
1080,3,10,9890
825,3,5,6300
795,3,13,5960
930,2,11,4890
1128,4,21,9500
1154,3,27,9230
1047,3,50,6322
877,2,40,1020
890,3,28,2300
857,2,17,3680
956,2,25,7500
970,3,31,7450
928,2,14,8900
781,3,8,4920
760,3,4,5120
658,2,1,3990
993,4,2,10900
890,2,9,4980
1025,3,5,19000
